instance time_smart smart
instances/train/Correia_Random_2_2_4_3.txt 5 12360
instances/train/Correia_Random_1_1_1_6.txt 0 5030
instances/train/Correia_Random_1_3_1_4.txt 0 7800
instances/train/Correia_Random_1_2_7_5.txt 0 6290
instances/train/Correia_Random_1_1_11_1.txt 1 8010
instances/train/Correia_Random_2_1_7_2.txt 2 10560
instances/train/Correia_Random_2_2_10_2.txt 3 13010
instances/train/Correia_Random_1_1_3_1.txt 0 5350
instances/train/Correia_Random_1_1_0_5.txt 0 4800
instances/train/Correia_Random_2_2_10_9.txt 2 13440
instances/train/Correia_Random_1_3_9_3.txt 0 8320
instances/train/Correia_Random_1_2_11_5.txt 1 8750
instances/train/Correia_Random_1_2_0_5.txt 0 6130
instances/train/Correia_Random_1_1_10_10.txt 0 6490
instances/train/Correia_Random_2_3_9_2.txt 2 16070
instances/train/Correia_Random_1_1_6_5.txt 0 5060
instances/train/Correia_Random_2_1_9_3.txt 3 10640
instances/train/Correia_Random_2_3_2_6.txt 1 15950
instances/train/Correia_Random_1_1_4_1.txt 0 5520
instances/train/Correia_Random_1_2_8_1.txt 0 6250
instances/train/Correia_Random_2_3_1_10.txt 1 15050
instances/train/Correia_Random_1_2_4_10.txt 0 5580
instances/train/Correia_Random_2_2_1_8.txt 3 11730
instances/train/Correia_Random_2_3_3_9.txt 1 15060
instances/train/Correia_Random_2_1_0_1.txt 1 9730
instances/train/Correia_Random_1_2_0_7.txt 0 6100
instances/train/Correia_Random_2_3_9_7.txt 1 15700
instances/train/Correia_Random_2_2_2_3.txt 5 12370
instances/train/Correia_Random_2_2_8_3.txt 3 12550
instances/train/Correia_Random_1_3_6_8.txt 0 7700
instances/train/Correia_Random_2_1_5_9.txt 3 10080
instances/train/Correia_Random_2_1_11_6.txt 8 14240
instances/train/Correia_Random_2_3_7_1.txt 1 15400
instances/train/Correia_Random_1_1_3_6.txt 0 5020
instances/train/Correia_Random_2_2_5_3.txt 4 12440
instances/train/Correia_Random_2_1_2_9.txt 3 9990
instances/train/Correia_Random_1_1_4_4.txt 0 4750
instances/train/Correia_Random_1_3_8_2.txt 0 7850
instances/train/Correia_Random_2_1_5_10.txt 4 10960
instances/train/Correia_Random_2_1_10_9.txt 4 11490
instances/train/Correia_Random_2_1_1_6.txt 1 9850
instances/train/Correia_Random_2_3_0_7.txt 2 15350
instances/train/Correia_Random_1_3_7_7.txt 0 7950
instances/train/Correia_Random_1_3_9_9.txt 0 7950
instances/train/Correia_Random_1_1_11_3.txt 0 7600
instances/train/Correia_Random_1_3_5_1.txt 0 7600
instances/train/Correia_Random_2_2_2_9.txt 3 12350
instances/train/Correia_Random_2_2_11_3.txt 3 15470
instances/train/Correia_Random_1_1_1_3.txt 0 4950
instances/train/Correia_Random_2_3_8_1.txt 1 15400
instances/train/Correia_Random_1_2_10_7.txt 0 7020
instances/train/Correia_Random_2_2_9_5.txt 5 12800
instances/train/Correia_Random_2_3_7_3.txt 1 15120
instances/train/Correia_Random_2_2_9_7.txt 5 12770
instances/train/Correia_Random_2_2_3_10.txt 3 11720
instances/train/Correia_Random_1_3_2_5.txt 0 7430
instances/train/Correia_Random_2_1_3_1.txt 2 9780
instances/train/Correia_Random_2_1_8_8.txt 3 10730
instances/train/Correia_Random_1_3_4_7.txt 0 7700
instances/train/Correia_Random_2_2_7_3.txt 3 12460
instances/train/Correia_Random_2_2_1_4.txt 3 12280
instances/train/Correia_Random_1_2_9_8.txt 0 6190
instances/train/Correia_Random_1_3_1_2.txt 0 7750
instances/train/Correia_Random_1_1_1_7.txt 0 5040
instances/train/Correia_Random_1_2_2_4.txt 0 6330
instances/train/Correia_Random_2_3_7_6.txt 1 16000
instances/train/Correia_Random_2_3_3_6.txt 1 15950
instances/train/Correia_Random_1_3_6_10.txt 0 7510
instances/train/Correia_Random_2_1_2_10.txt 2 10830
instances/train/Correia_Random_1_3_0_9.txt 0 7550
instances/train/Correia_Random_2_3_5_1.txt 1 15250
instances/train/Correia_Random_2_2_7_4.txt 3 12520
instances/train/Correia_Random_2_2_8_2.txt 3 12140
instances/train/Correia_Random_1_2_10_5.txt 1 6960
instances/train/Correia_Random_1_1_2_1.txt 0 5300
instances/train/Correia_Random_1_1_7_5.txt 1 5110
instances/train/Correia_Random_1_2_6_3.txt 1 6450
instances/train/Correia_Random_1_3_8_6.txt 0 8100
instances/train/Correia_Random_2_1_1_3.txt 2 9520
instances/train/Correia_Random_2_2_3_8.txt 3 11770
instances/train/Correia_Random_1_2_7_6.txt 1 6410
instances/train/Correia_Random_1_1_6_9.txt 0 5110
instances/train/Correia_Random_1_1_4_6.txt 0 5060
instances/train/Correia_Random_1_3_9_6.txt 0 8300
instances/train/Correia_Random_1_3_9_4.txt 0 8150
instances/train/Correia_Random_2_2_3_4.txt 2 12300
instances/train/Correia_Random_2_1_4_5.txt 3 10050
instances/train/Correia_Random_2_1_3_2.txt 3 10260
instances/train/Correia_Random_1_3_10_10.txt 0 8300
instances/train/Correia_Random_2_1_3_5.txt 2 10060
instances/train/Correia_Random_2_2_6_2.txt 2 11960
instances/train/Correia_Random_1_2_6_4.txt 0 6410
instances/train/Correia_Random_1_1_10_2.txt 1 6580
instances/train/Correia_Random_2_1_6_3.txt 3 9680
instances/train/Correia_Random_1_3_2_2.txt 0 7750
instances/train/Correia_Random_2_2_11_2.txt 4 15270
instances/train/Correia_Random_1_1_10_5.txt 2 5990
instances/train/Correia_Random_2_1_5_2.txt 5 10220
instances/train/Correia_Random_1_1_10_1.txt 0 6370
instances/train/Correia_Random_2_3_1_5.txt 1 15500
instances/train/Correia_Random_1_1_9_6.txt 0 5530
instances/train/Correia_Random_1_1_5_8.txt 0 5440
instances/train/Correia_Random_1_3_4_5.txt 0 7400
instances/train/Correia_Random_1_3_7_1.txt 0 7700
instances/train/Correia_Random_2_1_8_1.txt 10 10180
instances/train/Correia_Random_1_2_0_8.txt 0 5670
instances/train/Correia_Random_1_1_4_8.txt 0 5480
instances/train/Correia_Random_1_1_1_4.txt 0 4750
instances/train/Correia_Random_2_1_0_3.txt 1 9490
instances/train/Correia_Random_1_1_0_1.txt 0 5200
instances/train/Correia_Random_2_3_9_5.txt 1 15800
instances/train/Correia_Random_1_1_9_8.txt 1 6060
instances/train/Correia_Random_1_3_8_9.txt 0 7750
instances/train/Correia_Random_1_2_6_9.txt 1 6320
instances/train/Correia_Random_1_2_1_8.txt 0 5710
instances/train/Correia_Random_1_3_4_2.txt 0 7750
instances/train/Correia_Random_1_3_8_3.txt 0 8050
instances/train/Correia_Random_1_2_9_1.txt 0 6520
instances/train/Correia_Random_2_2_6_4.txt 3 12370
instances/train/Correia_Random_1_3_0_5.txt 0 7350
instances/train/Correia_Random_1_3_3_10.txt 0 7510
instances/train/Correia_Random_1_3_8_10.txt 0 7680
instances/train/Correia_Random_1_3_3_6.txt 0 7950
instances/train/Correia_Random_1_2_1_3.txt 0 6390
instances/train/Correia_Random_2_1_9_1.txt 9 10710
instances/train/Correia_Random_2_1_1_5.txt 1 10000
instances/train/Correia_Random_2_2_3_1.txt 2 12310
instances/train/Correia_Random_1_3_5_2.txt 0 7800
instances/train/Correia_Random_2_1_0_4.txt 1 10720
instances/train/Correia_Random_2_2_7_9.txt 6 12420
instances/train/Correia_Random_1_3_10_5.txt 0 8210
instances/train/Correia_Random_2_2_3_9.txt 3 12350
instances/train/Correia_Random_1_2_0_1.txt 0 6030
instances/train/Correia_Random_1_2_10_8.txt 1 6790
instances/train/Correia_Random_1_3_0_10.txt 0 7490
instances/train/Correia_Random_1_1_4_3.txt 0 5020
instances/train/Correia_Random_1_2_10_10.txt 0 6470
instances/train/Correia_Random_2_2_5_2.txt 3 11970
instances/train/Correia_Random_1_3_1_6.txt 0 7950
instances/train/Correia_Random_2_1_7_8.txt 3 10570
instances/train/Correia_Random_1_2_2_10.txt 0 5420
instances/train/Correia_Random_2_2_4_5.txt 2 12300
instances/train/Correia_Random_2_3_2_4.txt 1 15090
instances/train/Correia_Random_1_1_4_7.txt 0 5170
instances/train/Correia_Random_2_3_4_1.txt 1 15200
instances/train/Correia_Random_2_3_6_1.txt 1 15250
instances/train/Correia_Random_1_3_0_1.txt 0 7600
instances/train/Correia_Random_2_3_3_4.txt 1 15110
instances/train/Correia_Random_2_3_6_8.txt 2 14910
instances/train/Correia_Random_2_2_0_9.txt 4 12310
instances/train/Correia_Random_2_1_11_2.txt 5 14580
instances/train/Correia_Random_2_3_11_8.txt 3 17290
instances/train/Correia_Random_2_2_10_3.txt 3 13550
instances/train/Correia_Random_2_2_10_7.txt 4 13120
instances/train/Correia_Random_2_3_4_3.txt 1 15050
instances/train/Correia_Random_1_1_7_10.txt 0 5150
instances/train/Correia_Random_1_2_3_2.txt 0 6190
instances/train/Correia_Random_2_1_11_9.txt 10 14640
instances/train/Correia_Random_2_3_4_10.txt 1 15050
instances/train/Correia_Random_1_2_5_8.txt 0 5740
instances/train/Correia_Random_1_3_6_1.txt 0 7700
instances/train/Correia_Random_2_3_9_9.txt 2 15540
instances/train/Correia_Random_2_3_7_4.txt 1 15170
instances/train/Correia_Random_1_2_2_8.txt 0 5670
instances/train/Correia_Random_2_1_0_10.txt 1 10720
